sample_id,model,phase,ground_truth_len,prediction_len,cer,wer,has_prediction
voc2007_illu_item10+_D_1,azure_intelligence,Phase 1 (OCR),617,632,0.3259493670886076,0.5080645161290323,True
voc2007_illu_item10+_D_2,azure_intelligence,Phase 1 (OCR),505,514,0.3754863813229572,0.6161616161616161,True
voc2007_illu_item10+_D_3,azure_intelligence,Phase 1 (OCR),582,593,0.3220910623946037,0.5391304347826087,True
voc2007_illu_item10+_D_4,azure_intelligence,Phase 1 (OCR),583,584,0.3167808219178082,0.5277777777777778,True
voc2007_illu_item10+_D_5,azure_intelligence,Phase 1 (OCR),444,431,0.48491879350348027,0.7317073170731707,True
voc2007_illu_item10+_LD_1,azure_intelligence,Phase 1 (OCR),948,942,0.24522292993630573,0.4235294117647059,True
voc2007_illu_item10+_LD_2,azure_intelligence,Phase 1 (OCR),949,925,0.23351351351351352,0.37058823529411766,True
voc2007_illu_item10+_LD_3,azure_intelligence,Phase 1 (OCR),947,969,0.2260061919504644,0.4810810810810811,True
voc2007_illu_item10+_LD_4,azure_intelligence,Phase 1 (OCR),948,953,0.2025183630640084,0.4228571428571429,True
voc2007_illu_item10+_LT_1,azure_intelligence,Phase 1 (OCR),949,948,0.3206751054852321,0.5,True
voc2007_illu_item10+_LT_2,azure_intelligence,Phase 1 (OCR),948,955,0.2387434554973822,0.4659090909090909,True
voc2007_illu_item10+_LT_3,azure_intelligence,Phase 1 (OCR),948,955,0.24293193717277486,0.4318181818181818,True
voc2007_illu_item10+_LT_4,azure_intelligence,Phase 1 (OCR),917,937,0.27321237993596587,0.46629213483146065,True
voc2007_illu_item10+_L_1,azure_intelligence,Phase 1 (OCR),926,918,0.3148148148148148,0.49411764705882355,True
voc2007_illu_item10+_L_2,azure_intelligence,Phase 1 (OCR),950,973,0.3669064748201439,0.5698924731182796,True
voc2007_illu_item10+_L_3,azure_intelligence,Phase 1 (OCR),918,928,0.2941810344827586,0.5227272727272727,True
voc2007_illu_item10+_L_4,azure_intelligence,Phase 1 (OCR),949,973,0.3278520041109969,0.5401069518716578,True
voc2007_illu_item10+_L_5,azure_intelligence,Phase 1 (OCR),950,966,0.2598343685300207,0.5054945054945055,True
voc2007_illu_item10+_RD_1,azure_intelligence,Phase 1 (OCR),583,603,0.33499170812603646,0.5666666666666667,True
voc2007_illu_item10+_RD_2,azure_intelligence,Phase 1 (OCR),585,600,0.385,0.6153846153846154,True
voc2007_illu_item10+_RD_3,azure_intelligence,Phase 1 (OCR),457,455,0.45274725274725275,0.6666666666666666,True
voc2007_illu_item10+_RD_4,azure_intelligence,Phase 1 (OCR),583,594,0.3282828282828283,0.5948275862068966,True
voc2007_illu_item10+_RT_1,azure_intelligence,Phase 1 (OCR),949,972,0.22633744855967078,0.43783783783783786,True
voc2007_illu_item10+_RT_2,azure_intelligence,Phase 1 (OCR),949,953,0.304302203567681,0.4887640449438202,True
voc2007_illu_item10+_RT_3,azure_intelligence,Phase 1 (OCR),948,972,0.3117283950617284,0.5645161290322581,True
voc2007_illu_item10+_RT_4,azure_intelligence,Phase 1 (OCR),948,969,0.23116615067079463,0.47802197802197804,True
voc2007_illu_item10+_R_1,azure_intelligence,Phase 1 (OCR),948,968,0.25,0.4918032786885246,True
